run_number,run_group,d_cpu,d_mem,h_cpu,h_mem,sm_cpu,sm_mem,sw_cpu,sw_mem,sw_count,result_seconds,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,2262.21642184258,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,1,1,1,1,2265.64921236038,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,1,1,1,1,1,1,1,1,3,901.71670055389,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,1,1,1,1,1,1,1,1,3,898.505167245865,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,1,1,1,1,1,1,1,1,6,481.160243034363,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,1,1,1,1,1,1,1,6,458.324927568436,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,1,1,1,1,1,1,1,1,9,413.550419807434,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,1,1,1,1,1,1,1,1,9,282.799356222153,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,1,1,1,1,1,1,1,1,9,287.0969209671020,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,1,1,1,1,1,1,1,1,15,198.699087381363,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,1,1,1,1,1,1,1,1,15,191.703682184219,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,1,1,1,1,1,1,4,4,1,597.65203166008,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,1,1,1,1,1,1,8,8,1,313.77631187439,,,,,,,,,,,,,,,,,,,,,,,,,
14,8,1,1,1,1,1,1,12,12,1,207.007611751556,,,,,,,,,,,,,,,,,,,,,,,,,
15,9,1,1,1,1,1,1,15,15,1,156.503710508347,,,,,,,,,,,,,,,,,,,,,,,,,
